"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C7,C10,C11","0.1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","7",""
"C5,C6,C9","2.2uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3",""
"C8","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"D1","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"J2","Conn_01x03","~","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1",""
"J3","DAUGHTER0","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J4","DAUGHTER1","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J5","DAUGHTER2","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J6","DAUGHTER3","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J7","DAUGHTER4","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J8","DAUGHTER5","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J9","DAUGHTER6","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J10","DAUGHTER7","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J11","DAUGHTER8","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J12","Jack-DC","~","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"J13","USB_A","~","Connector_USB:USB_A_Molex_67643_Horizontal","1",""
"R1,R2","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R3","330","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R4","120","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R5","0","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"SW1,SW2","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm","2",""
"TP1,TP2,TP3,TP4,TP5","TestPoint","~","TestPoint:TestPoint_Pad_D2.0mm","5",""
"U1","STM32H533CETx1","","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
"U2","TCAN3414DR","PTCAN3414DR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U3","TLV76733QWDRBxQ1","www.ti.com/lit/gpn/TLV767-q1","Package_SON:VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm","1",""
"U4","DKM30F-12N","https://www.meanwell.com/webapp/product/search.aspx?prod=DKM30-N","Library:DKM30F-12N","1",""
