Designator,Footprint,Quantity,Value,LCSC Part #
C1,805,1,1u,C77386
"C10, C11, C12, C3, C4, C5, C7, C8, C9",603,9,100n,C14663
C2,805,1,2.2u,C99227
C6,805,1,220n,C77051
"D1, D2, D3, D4",SOT-23,4,BAT54S,C916425
D5,805,1,YELLOW,C2296
D6,805,1,GREEN,C2297
"R1, R2",603,2,1k 0.1%,C110776
"R10, R11, R12, R15, R16, R8, R9",603,7,1k,C21190
"R13, R14",603,2,10k,C25804
"R4, R5, R6, R7",603,4,2.2,C25226
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32F042F6Px,C81000
U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76733DRVx,C2848334
U3,SOIC8_D_TEX,1,PTCAN3414DR,C189939
U4,PW20_TEX,1,ADS131M04IPWT,C2862562
,,,,
,,,,
