Designator,Mid X,Mid Y,Rotation,Layer
C1,62.6325,-74.11085,180.0,top
C10,61.3675,-27.94,180.0,top
C11,75.565,-56.1075,270.0,top
C12,70.7125,-54.61,180.0,top
C2,62.6325,-65.22085,180.0,top
C3,60.96,-48.6675,270.0,top
C4,71.755,-62.04585,0.0,top
C5,79.375,-56.1075,270.0,top
C6,67.31,-52.3025,270.0,top
C7,81.5075,-52.705,0.0,top
C8,81.5075,-45.72,0.0,top
C9,79.375,-42.3175,90.0,top
D1,41.5775,-83.185,0.0,top
D2,41.5775,-22.225,0.0,top
D3,85.4225,-23.495,180.0,top
D4,85.4225,-85.09,180.0,top
D5,52.07,-18.66,270.0,top
D6,49.03,-18.66,270.0,top
J1,63.56,-84.73,0.0,top
J2,32.385,-83.82,270.0,top
J3,32.385,-22.86,270.0,top
J4,94.615,-22.86,90.0,top
J5,94.615,-83.82,90.0,top
J6,99.06,-43.185,180.0,top
R1,54.61,-66.21335,270.0,top
R10,81.5575,-50.8,180.0,top
R11,81.5575,-47.625,180.0,top
R12,77.47,-42.2675,270.0,top
R13,61.4175,-29.845,0.0,top
R14,65.405,-27.94,0.0,top
R15,52.135,-22.495,270.0,top
R16,48.96,-22.575,270.0,top
R2,54.61,-73.11835,270.0,top
R4,41.275,-86.36,180.0,top
R5,41.275,-25.4,180.0,top
R6,85.725,-20.32,0.0,top
R7,85.725,-81.28,0.0,top
R8,77.47,-56.1575,90.0,top
R9,53.6175,-69.66585,180.0,top
SW1,31.115,-52.705,180.0,top
SW2,59.055,-20.955,90.0,top
SW3,67.605,-20.955,90.0,top
U1,53.34,-48.895,270.0,top
U2,62.865,-69.85,270.0,top
U3,71.755,-68.39585,270.0,top
U4,73.66,-48.895,180.0,top
